14950000	14950000	1326.0
133950000	133950000	923.0
133525000	133525000	838.0
82900000	82900000	1121.0
35475000	35475000	1343.0
19550000	19550000	1208.0
12325000	12325000	1063.0
107575000	107575000	523.0
44925000	44925000	1913.0
46400000	46400000	1900.0
46675000	46675000	2120.0
21850000	21850000	721.0
82475000	82475000	1053.0
4625000	4625000	1206.0
113300000	113300000	693.0
123100000	123100000	1739.0
12950000	12950000	1298.0
74250000	74250000	1200.0
115325000	115325000	797.0
129375000	129375000	842.0
121650000	121650000	1279.0
69700000	69700000	1556.0
86450000	86450000	1246.0
77175000	77175000	1528.0
63250000	63250000	1148.0
78200000	78200000	1681.0
8175000	8175000	1288.0
40300000	40300000	1173.0
26275000	26275000	903.0
45900000	45900000	1742.0
122625000	122625000	1712.0
131050000	131050000	914.0
119475000	119475000	1253.0
58625000	58625000	1060.0
10300000	10300000	976.0
128150000	128150000	1083.0
88275000	88275000	815.0
68050000	68050000	1579.0
1650000	1650000	1058.0
129100000	129100000	544.0
47475000	47475000	1210.0
34575000	34575000	1190.0
9750000	9750000	1216.0
128025000	128025000	1172.0
57825000	57825000	1212.0
131050000	131050000	914.0
90275000	90275000	930.0
20125000	20125000	1514.0
11025000	11025000	1308.0
130200000	130200000	1172.0
133075000	133075000	647.0
20625000	20625000	1565.0
124950000	124950000	826.0
40300000	40300000	1173.0
15825000	15825000	1287.0
90375000	90375000	998.0
113325000	113325000	637.0
112600000	112600000	631.0
112575000	112575000	614.0
88000000	88000000	616.0
90425000	90425000	547.0
4175000	4175000	1161.0
128025000	128025000	1172.0
49225000	49225000	431.0
110450000	110450000	545.0
123300000	123300000	2189.0
22225000	22225000	3501.0
125175000	125175000	1598.0
550000	550000	5785.0
3875000	3875000	5078.0
32350000	32350000	4942.0
22075000	22075000	4306.0
27025000	27025000	4574.0
25575000	25575000	3747.0
14825000	14825000	4577.0
132400000	132400000	1761.0
115775000	115775000	1556.0
120750000	120750000	2440.0
64250000	64250000	2172.0
113425000	113425000	2745.0
107125000	107125000	1751.0
42450000	42450000	1886.0
118425000	118425000	1827.0
63825000	63825000	1890.0
114000000	114000000	2218.0
131600000	131600000	1575.0
24975000	24975000	4865.0
76150000	76150000	1602.0
8725000	8725000	4939.0
42125000	42125000	1704.0
111725000	111725000	2754.0
14175000	14175000	4132.0
32750000	32750000	5673.0
79550000	79550000	1914.0
99375000	99375000	1595.0
107125000	107125000	1751.0
32750000	32750000	5673.0
62800000	62800000	2002.0
95575000	95575000	2056.0
69375000	69375000	1401.0
83000000	83000000	1440.0
106375000	106375000	1635.0
78175000	78175000	1212.0
99025000	99025000	1717.0
51050000	51050000	2674.0
104725000	104725000	2288.0
129175000	129175000	1696.0
79400000	79400000	1626.0
52650000	52650000	2498.0
107975000	107975000	1403.0
106375000	106375000	1635.0
102925000	102925000	1716.0
96975000	96975000	1376.0
69875000	69875000	1584.0
22850000	22850000	4684.0
42575000	42575000	1942.0
76050000	76050000	1243.0
14825000	14825000	4577.0
64800000	64800000	1507.0
51400000	51400000	1875.0
96050000	96050000	1969.0
113975000	113975000	2303.0
52150000	52150000	2305.0
68025000	68025000	1531.0
32750000	32750000	5673.0
7200000	7200000	4214.0
128950000	128950000	1842.0
46375000	46375000	1341.0
53975000	53975000	1776.0
52375000	52375000	2032.0
128975000	128975000	2199.0
118425000	118425000	1827.0
39300000	39300000	1166.0
123900000	123900000	2142.0
56275000	56275000	2236.0
41275000	41275000	1290.0
99375000	99375000	1595.0
96975000	96975000	1376.0
38050000	38050000	1229.0
69275000	69275000	1470.0
80400000	80400000	864.0
104375000	104375000	1624.0
80400000	80400000	864.0
108650000	108650000	1325.0
69875000	69875000	1584.0
56725000	56725000	2320.0
21675000	21675000	3386.0
101925000	101925000	1852.0
16925000	16925000	3060.0
